time,PM 2.5,PM 10
2018-09-27 13:19:00,14.1933333333,16.7216666667
2018-09-27 13:20:00,14.2431034483,17.2637931034
2018-09-27 13:21:00,13.7049180328,16.1754098361
2018-09-27 13:22:00,13.4116666667,19.1933333333
2018-09-27 13:23:00,13.9166666667,17.1833333333
2018-09-27 13:24:00,14.015,16.8083333333
2018-09-27 13:25:00,13.2116666667,16.9783333333
2018-09-27 13:26:00,13.54,17.3066666667
2018-09-27 13:27:00,11.81,16.3633333333
2018-09-27 13:28:00,13.3295081967,15.7590163934
2018-09-27 13:29:00,13.835,15.78
2018-09-27 13:30:00,12.4,15.006779661
2018-09-27 13:31:00,11.8066666667,17.1166666667
2018-09-27 13:32:00,13.635,17.6533333333
